"id","name","part_number"
"4397","Sound Package - Standard","V008001"
"4398","Performance Sound Package","V008002"
"4399","Pro Sound Package","V008003"
"4400","Radio w/ Bluetooth DVD Player","V008004"
"4401","2 Exterior Speakers","V008005"
"4402","Standard Black Coin Flooring","V008072"
"4403","Wood Grain Flooring","V008078"
"4404","Cedar Wood Pkg-Std Maple","YT001-A821-PK"
"4405","Cedar Wood Pkg w/ Walnut","YT002-A821-PK"
"4406","Pine Wood Pkg w/ Maple","YT003-A821-PK"
"4407","Soft Touch w/ Cedar Pkg & Walnut","YT004-A821-PK"
"4408","110V Fridge, 7.4 Cu. Ft.","V008253"
"4410","12V Fridge, 8.0 Cu. Ft.","V008254"
"4412","Tall Kitchen Cabinet","V008257"
"4414","Low Kitchen Cab - Front Fireplace","V008221"
"4416","Low Kitchen Cab - Front Fireplace/Handpump","V008222"
"4418","Low Kitchen Cab - Handpump","V008223"
"4420","Low Kitchen Cab - Standard","V008224"
"4422","Upper Kitchen Cab - Standard","V008220"
"4424","Bathroom Cabinet","V008225"
"4426","Front Sofa Cabinet","V008226"
"4428","Slider Wheel Well","V008278"
"4430","Slider Wheel Well w/ Flip Down","V008279"
"4432","Fixed Slider Wrap Around Wheel Well","V008280"
"4434","Fixed Slider Wrap Around Wheel Well w/ Flip Down","V008281"
"4436","Raise Fixed Counter","V008282"
"4438","Wheel Well Upper Cabinet","V008227"
"4440","Wheel Well Upper Wrap Around","V008240"
"4442","Slider Wheel Well","V008270"
"4444","Slider Wheel Well w/ Flip Downs","V008271"
"4448","Slider Wheel Well","V008273"
"4450","Slider Wheel Well w/ Flip Down","V008274"
"4452","Raised Wheel Well","V008275"
"4454","Rear Fireplace","V008276"
"4456","2 Door Cabinet","V008236"
"4458","Entertainment Center","V008306"
"4460","Side Bunk","V008230"
"4462","Side Cabinets","V008231"
"4464","60"" Bed Lift","V008194"
"4466","48"" Bed Lift","V008195"
"4468","Rear Bunk Bed","V008199"
"4470","Rear Sofa Brown","V008200"
"4472","Rear Sofa Black","V008201"
"4474","Rear Dinette Brown","V008202"
"4476","Rear Dinette Black","V008203"
"4478","Rear Tri-fold Brown","V008204"
"4480","Rear Tri-fold Black","V008205"
"4482","Side Sofa Brown","V008206"
"4484","Side Sofa Black","V008207"
"4486","Small Curtain Brown","V008110"
"4487","Small Curtain Black","V008111"
"4488","Small Night Shade","V008114"
"4489","Small Day/Night Shade","V008116"
